Units,B2,Donated,Context
"Yes, I also like what they do. They are a great organization. I would like to dotate $0.20. Would that help?",20180904-045349_715_live,yes,
"I enjoy helping, especially children It takes everyone helping where they can.  Have a great day",20180904-100019_870_live,no,stop
What is the other nonprofit that you support? That's nice of you. Can't ever imagine hurting kids,20180904-043300_214_live,no,stop
"Ok, well I think I could donate half my earnings to this. I think I'll donate $1.",20180904-082430_252_live,yes,
Because all organizations take a percentage to pay for overhead costs.  No I won't be contributing today .,20180904-151613_546_live,no,clear
That seems worthwhile. Helping children is important. Are you planning to donate today? Good to know.,20180904-030739_178_live,no,
I would like to help in the future when I am more financially stable. I am sure but I just am not able at this time,20180904-012828_299_live,no,clear
"Thanks for the information, I would be happy to donate. I would like to donate ten cents.",20180904-073348_848_live,yes,
"I know 10 cents doesn't seem like a lot, but when you have a houseful of mouths to feed it adds up. I guess that makes me seem a little selfish but 10 cents will but a pack of noodles that will feed 2 kids at my house. Thank you, again for your service. ",20180904-050435_387_live,no,clear
we agree on that. thank you. you're welcome. and you.,20180904-064114_258_live,no,clear
"It is not fair that majority of the worlds money belongs to less than 1 percent of the US, yet there are children starving. Yes they are our future.
",20180831-224726_732_live,no,stop
"I'm sorry, I feel like you're trying to bully me into donating. You too. Thank you too. ",20180831-180355_992_live,no,clear
"I would say five dollars. Yes, of course.",20180831-191711_71_live,yes,stop
"I would give 10 cents ok,sounds good to me",20180831-043947_465_live,yes,
yes because i dont know where my money will be going how do i know that?,20180831-175925_143_live,no,clear
Neither do I its just research based on our qualities from the screening questions prior. I hope you do too. Enjoy!,20180831-073919_112_live,no,clear
"lol, probably not, but I would be willing to take a bunch of kids hiking in these ",20180831-103236_81_live,no,stop
"I'll pledge $0.50 Pleasure talking to you as well No, that's max. The rest is for my home",20180831-131354_977_live,yes,
I never thought of it that way before! Are you donating any today as well? ,20180831-072612_12_live,no,stop
"No, I do not, but I like ot donate Thank you ",20180831-120243_533_live,yes,
thank you for all your help! i do plan to contribute right now,20180831-231032_102_live,yes,
I haven't yet but I know they had a hurricane. I would love to do so! $0.10,20180831-051326_212_live,yes,
