B2,D,A
20180825-094831_466_live,yes,0.5
20180902-230734_103_live,yes,0.2
20180830-201035_956_live,yes,0.3
20180828-162137_37_live,yes,1
20180826-184037_209_live,yes,0.1
20180723-103902_895_live,yes,0.5
20180829-065704_482_live,yes,2
20180831-183431_357_live,yes,0.25
20180723-034654_121_live,yes,1
20180831-182914_929_live,yes,1
20180902-222747_770_live,yes,0.3
20180901-055511_376_live,yes,0.4
20180901-121329_807_live,yes,1.5
20180830-153926_427_live,yes,0.5
20180719-212219_934_live,yes,1.2
20180904-052026_52_live,yes,1.5
20180901-180617_95_live,yes,0.15
20180826-180314_928_live,yes,0.2
20180831-222729_66_live,yes,0.5
20180828-192202_602_live,yes,0.5
20180901-180119_88_live,yes,1.5
20180903-140806_586_live,yes,0.3
20180830-155510_301_live,yes,0.75
20180902-065004_63_live,yes,1.75
20180827-021816_456_live,yes,0.3
20180808-011341_389_live,yes,0.5
20180827-052933_671_live,yes,0.5
20180807-224801_326_live,yes,2
20180827-032731_796_live,yes,100
20180904-025026_901_live,yes,0.3
20180827-025236_792_live,yes,0.3
20180830-213440_640_live,yes,1
20180901-083851_418_live,yes,2
20180903-042430_763_live,yes,0.4
20180827-052346_342_live,yes,30
20180903-104000_179_live,yes,0.5
20180723-112016_503_live,yes,0.5
20180903-103342_719_live,yes,2
20180823-021414_711_live,yes,0.2
20180904-053728_415_live,yes,0.5
20180901-045936_842_live,yes,2
20180902-150252_344_live,yes,0.3
20180723-080248_452_live,yes,2
20180828-192913_631_live,yes,1
20180831-115617_21_live,yes,1
20180825-063117_677_live,yes,100
20180723-061928_535_live,yes,200
20180904-153333_396_live,yes,1
20180831-083027_46_live,yes,0.5
20180826-203821_83_live,yes,0.1
20180808-015735_783_live,yes,2
20180903-053722_705_live,yes,2
20180902-221023_518_live,yes,0.5
20180827-033057_106_live,yes,30
20180829-025613_845_live,yes,2
20180903-103006_867_live,yes,2
20180829-141003_666_live,yes,2
20180825-053544_897_live,yes,5
20180901-112824_44_live,yes,1
20180826-053845_531_live,yes,2
20180829-055930_101_live,yes,0.12
20180904-110536_308_live,yes,2
20180807-045213_750_live,yes,2
20180825-074318_984_live,yes,0.1
20180903-094939_651_live,yes,0.5
20180831-053018_301_live,yes,0.5
20180903-170455_801_live,yes,1
20180904-154223_473_live,yes,1
20180828-161442_405_live,yes,2
20180831-051326_212_live,yes,0.1
20180828-192522_122_live,yes,0.25
20180830-174134_253_live,yes,0.5
20180831-100313_532_live,yes,1
20180831-211130_630_live,yes,2
20180807-033103_193_live,yes,100
20180828-145342_771_live,yes,0.01
20180825-065106_23_live,yes,5
20180831-223214_28_live,yes,0.2
20180904-151308_935_live,yes,1
20180829-083433_500_live,yes,1
20180829-013801_68_live,yes,0.05
20180827-034916_910_live,yes,0.3
20180901-061738_750_live,yes,0.3
20180904-154250_98_live,yes,2
20180903-175250_880_live,yes,0.75
20180831-081945_112_live,yes,0.12
20180831-191926_666_live,yes,1
20180828-185546_199_live,yes,1
20180826-013529_897_live,yes,5
20180831-130348_981_live,yes,1
20180828-192601_768_live,yes,1
20180828-213210_462_live,yes,1
BAD_20180827-020402_248_live,yes,50
20180829-054846_569_live,yes,1
20180903-145341_70_live,yes,2
20180901-075720_707_live,yes,0.5
20180828-190447_206_live,yes,2
20180829-072646_214_live,yes,0.77
20180828-180224_618_live,yes,0.1
20180825-051212_932_live,yes,5
20180830-152840_138_live,yes,0.1
20180828-150559_96_live,yes,2
20180903-140656_582_live,yes,2
20180904-055231_835_live,yes,2
20180807-110023_918_live,yes,0.01
20180828-190347_623_live,yes,1.25
20180825-060055_854_live,yes,100
20180830-182037_288_live,yes,0.5
20180901-091456_160_live,yes,2
20180827-044929_762_live,yes,20
20180828-191231_142_live,yes,1
20180828-185741_900_live,yes,0.1
20180825-143255_249_live,yes,1
20180825-073559_995_live,yes,1
20180903-133419_244_live,yes,0.2
20180831-184944_472_live,yes,0.3
20180828-212320_295_live,yes,1
20180831-071300_554_live,yes,1
BAD_20180827-014220_596_live,yes,100
20180826-054028_444_live,yes,1
20180828-151602_271_live,yes,1.5
20180719-211253_768_live,yes,0.5
20180826-174120_426_live,yes,0.15
20180808-043445_804_live,yes,0.5
20180903-103906_732_live,yes,2
